ace ##r wants $ 170 to just look at it then add the repair cost on top of that .####0,2 -1,-1	SUPPORT#PRICE#1
i love my laptop !####3,4 1,2	LAPTOP#GENERAL#2
great laptop for a good price too !####1,2 0,1	LAPTOP#GENERAL#2
great laptop for a good price too !####1,2 4,5	LAPTOP#PRICE#2
great buy , love the smaller size too !####-1,-1 0,1	LAPTOP#GENERAL#2
great buy , love the smaller size too !####-1,-1 3,4	LAPTOP#GENERAL#2
this little computer is awesome and it was so inexpensive for what you get !####2,3 4,5	LAPTOP#GENERAL#2
this little computer is awesome and it was so inexpensive for what you get !####2,3 9,10	LAPTOP#PRICE#2
very happy with this purchase####-1,-1 1,2	LAPTOP#GENERAL#2
delivered quickly , easy set up .####-1,-1 1,2	SHIPPING#QUALITY#2
delivered quickly , easy set up .####4,6 3,4	LAPTOP#USABILITY#2
surprisingly fast for such a small chrome book .####6,8 1,2	LAPTOP#OPERATION_PERFORMANCE#2
worked well when i had it .####-1,-1 1,2	LAPTOP#OPERATION_PERFORMANCE#2
love the mobility of this .####2,3 0,1	LAPTOP#PORTABILITY#2
easy to use .####-1,-1 0,1	LAPTOP#USABILITY#2
i bought this for a linux machine and it does that just great .####5,7 12,13	LAPTOP#OPERATION_PERFORMANCE#2
another thing , it is much thinner than expected .####-1,-1 6,7	LAPTOP#DESIGN_FEATURES#2
nice little notebook !####2,3 0,1	LAPTOP#GENERAL#2
i love this one !####-1,-1 1,2	LAPTOP#GENERAL#2
i don ' t do much more than google searches , so the lower end model works great for me .####15,16 17,18	LAPTOP#GENERAL#2
i am very happy with this item .####6,7 3,4	LAPTOP#GENERAL#2
long battery life .####1,3 0,1	BATTERY#OPERATION_PERFORMANCE#2
len ##ovo has not disappointed with their products .####0,2 3,5	COMPANY#GENERAL#2
len ##ovo has not disappointed with their products .####7,8 3,5	LAPTOP#GENERAL#2
it ' s a solid and quality built laptop .####8,9 4,5	LAPTOP#QUALITY#2
it ' s a solid and quality built laptop .####8,9 6,8	LAPTOP#QUALITY#2
overall for the price range , it ' s a fantastic laptop .####11,12 10,11	LAPTOP#PRICE#2
2 ) the battery was pretty limited .####3,4 6,7	BATTERY#OPERATION_PERFORMANCE#0
the computer has a solid processor and enough memory to handle pretty much anything the average user will ##l throw at it , short of graphics - heavy gaming .####8,9 -1,-1	MEMORY#QUALITY#2
that said : if you can deal with the short battery life , you ' re not going to find a better machine at this price .####10,12 9,10	BATTERY#GENERAL#0
that said : if you can deal with the short battery life , you ' re not going to find a better machine at this price .####22,23 -1,-1	LAPTOP#PRICE#2
the case is solid and attractive , the keyboard responsive and comfortable to use ( nice touch with the dedicated number key ##pad too ! )####1,2 3,4	HARDWARE#GENERAL#2
the case is solid and attractive , the keyboard responsive and comfortable to use ( nice touch with the dedicated number key ##pad too ! )####1,2 5,6	HARDWARE#GENERAL#2
the case is solid and attractive , the keyboard responsive and comfortable to use ( nice touch with the dedicated number key ##pad too ! )####8,9 9,10	KEYBOARD#QUALITY#2
the case is solid and attractive , the keyboard responsive and comfortable to use ( nice touch with the dedicated number key ##pad too ! )####8,9 11,12	KEYBOARD#QUALITY#2
the case is solid and attractive , the keyboard responsive and comfortable to use ( nice touch with the dedicated number key ##pad too ! )####20,23 15,16	KEYBOARD#QUALITY#2
it is an okay laptop and nothing more .####4,5 3,4	LAPTOP#GENERAL#1
beautiful resolution####1,2 0,1	DISPLAY#GENERAL#2
bigger screen####1,2 0,1	DISPLAY#GENERAL#2
nice keyboard####1,2 0,1	KEYBOARD#GENERAL#2
the charge cord is very short , about 1 / 2 the size of a regular charging cord####1,3 5,6	POWER_SUPPLY#DESIGN_FEATURES#0
the battery capacity is 3 hours on a full charge####1,3 -1,-1	BATTERY#QUALITY#0
the small battery capacity is the number one reason i would not buy this product and would recommend with that cave ##at being disclosed .####2,4 1,2	BATTERY#QUALITY#0
great item !####1,2 0,1	LAPTOP#GENERAL#2
laptop was new , in perfect condition and works like a charm .####0,1 5,6	LAPTOP#GENERAL#2
me ##m , hd ##d , sc ##ree ##d , dvd drive are all easily accessible and re ##movable .####0,2 15,16	MEMORY#USABILITY#2
me ##m , hd ##d , sc ##ree ##d , dvd drive are all easily accessible and re ##movable .####0,2 17,19	MEMORY#USABILITY#2
me ##m , hd ##d , sc ##ree ##d , dvd drive are all easily accessible and re ##movable .####3,5 15,16	HARD_DISC#USABILITY#2
me ##m , hd ##d , sc ##ree ##d , dvd drive are all easily accessible and re ##movable .####3,5 17,19	HARD_DISC#USABILITY#2
me ##m , hd ##d , sc ##ree ##d , dvd drive are all easily accessible and re ##movable .####6,9 15,16	DISPLAY#USABILITY#2
me ##m , hd ##d , sc ##ree ##d , dvd drive are all easily accessible and re ##movable .####6,9 17,19	DISPLAY#USABILITY#2
me ##m , hd ##d , sc ##ree ##d , dvd drive are all easily accessible and re ##movable .####10,12 15,16	OPTICAL_DRIVES#USABILITY#2
me ##m , hd ##d , sc ##ree ##d , dvd drive are all easily accessible and re ##movable .####10,12 17,19	OPTICAL_DRIVES#USABILITY#2
720 ##p screen that ' s not very bright .####0,3 6,9	DISPLAY#OPERATION_PERFORMANCE#0
short charging cable .####1,3 0,1	POWER_SUPPLY#DESIGN_FEATURES#0
i ' m giving this five stars considering the price .####-1,-1 -1,-1	LAPTOP#PRICE#2
it can also run mod ##ded sky ##rim with no issues , which is nice bonus for me .####-1,-1 14,15	LAPTOP#GENERAL#2
all in all , as long as you update windows often and tin ##ker with it a little , you can get that laptop to do practically anything you want it to do .####23,24 -1,-1	LAPTOP#GENERAL#2
lots of space , fast , and it will last a long time with it ##a top shelf technology .####-1,-1 -1,-1	LAPTOP#DESIGN_FEATURES#2
lots of space , fast , and it will last a long time with it ##a top shelf technology .####-1,-1 4,5	LAPTOP#QUALITY#2
but overall a good laptop for productivity .####4,5 3,4	LAPTOP#QUALITY#2
good laptop thank you .####1,2 0,1	LAPTOP#GENERAL#2
right out of the box , this computer is really slow , but two simple steps easily fix that issue .####7,8 10,11	LAPTOP#GENERAL#0
right out of the box , this computer is really slow , but two simple steps easily fix that issue .####7,8 -1,-1	LAPTOP#GENERAL#1
overall , its a decent machine for the money , and for $ 35 more for a cheap ss ##d , it really works great for a low buck budget friendly laptop .####5,6 4,5	LAPTOP#PRICE#2
overall , its a decent machine for the money , and for $ 35 more for a cheap ss ##d , it really works great for a low buck budget friendly laptop .####-1,-1 24,25	LAPTOP#OPERATION_PERFORMANCE#2
my girlfriend works from home with it and has no problems at all to do online classes with it .####-1,-1 -1,-1	LAPTOP#GENERAL#2
decent laptop for home use .####1,2 0,1	LAPTOP#GENERAL#2
the price is right too .####-1,-1 3,4	LAPTOP#PRICE#2
great value , i wanted a laptop for my personal home use .####6,7 0,1	LAPTOP#GENERAL#2
this is actually the first laptop that fitted all my needs , big clear screen , battery life sucks but this is a power house laptop meant to be in one place since its so big , very good computer replacement , amazing sound and screen and very fast .####45,46 12,13	DISPLAY#DESIGN_FEATURES#2
this is actually the first laptop that fitted all my needs , big clear screen , battery life sucks but this is a power house laptop meant to be in one place since its so big , very good computer replacement , amazing sound and screen and very fast .####45,46 13,14	DISPLAY#DESIGN_FEATURES#2
this is actually the first laptop that fitted all my needs , big clear screen , battery life sucks but this is a power house laptop meant to be in one place since its so big , very good computer replacement , amazing sound and screen and very fast .####16,18 18,19	BATTERY#OPERATION_PERFORMANCE#0
this is actually the first laptop that fitted all my needs , big clear screen , battery life sucks but this is a power house laptop meant to be in one place since its so big , very good computer replacement , amazing sound and screen and very fast .####39,41 38,39	LAPTOP#GENERAL#2
this is actually the first laptop that fitted all my needs , big clear screen , battery life sucks but this is a power house laptop meant to be in one place since its so big , very good computer replacement , amazing sound and screen and very fast .####43,44 42,43	MULTIMEDIA_DEVICES#GENERAL#2
this is actually the first laptop that fitted all my needs , big clear screen , battery life sucks but this is a power house laptop meant to be in one place since its so big , very good computer replacement , amazing sound and screen and very fast .####-1,-1 42,43	DISPLAY#GENERAL#2
great product and price####1,2 0,1	LAPTOP#GENERAL#2 LAPTOP#PRICE#2
this laptop is great for a lot of modern games .####1,2 3,4	LAPTOP#GENERAL#2
bought this for web surfing at home .####-1,-1 -1,-1	LAPTOP#GENERAL#1
price is good####-1,-1 2,3	LAPTOP#PRICE#2
the large screen and integral nu ##meric pad are exactly what i need to easily process documents .####2,3 1,2	DISPLAY#DESIGN_FEATURES#2
the large screen and integral nu ##meric pad are exactly what i need to easily process documents .####4,8 -1,-1	KEYBOARD#USABILITY#2
highly recommend , great value , use computer mainly for online business and is quick and easy to use####7,8 1,2	LAPTOP#GENERAL#2
highly recommend , great value , use computer mainly for online business and is quick and easy to use####7,8 3,4	LAPTOP#GENERAL#2
highly recommend , great value , use computer mainly for online business and is quick and easy to use####7,8 14,15	LAPTOP#OPERATION_PERFORMANCE#2
highly recommend , great value , use computer mainly for online business and is quick and easy to use####7,8 16,17	LAPTOP#USABILITY#2
ordered this computer to use in college and also for gaming .####2,3 -1,-1	LAPTOP#GENERAL#1
although it can be a little slow at times , overall it runs great , and can run most popular games at a decent f ##ps on medium settings .####-1,-1 6,7	LAPTOP#GENERAL#0
although it can be a little slow at times , overall it runs great , and can run most popular games at a decent f ##ps on medium settings .####-1,-1 13,14	LAPTOP#GENERAL#2
the computer looks nice , and works good .####1,2 3,4	LAPTOP#GENERAL#2
the computer looks nice , and works good .####1,2 7,8	LAPTOP#OPERATION_PERFORMANCE#2
love love love this laptop !####4,5 1,2	LAPTOP#GENERAL#2 LAPTOP#GENERAL#2
love love love this laptop !####4,5 2,3	LAPTOP#GENERAL#2 LAPTOP#GENERAL#2
love love love this laptop !####4,5 -1,-1	LAPTOP#GENERAL#2 LAPTOP#GENERAL#2
what a tragic mistake buying a computer with windows 10 !####6,10 2,3	OS#GENERAL#0 LAPTOP#GENERAL#0
great laptop great price .####1,2 -1,-1	LAPTOP#GENERAL#2 LAPTOP#PRICE#2
great customer service .####1,3 0,1	SUPPORT#GENERAL#2
good computer good memory####1,2 -1,-1	LAPTOP#GENERAL#2
good computer good memory####3,4 -1,-1	MEMORY#GENERAL#2
amazing laptop !####1,2 0,1	LAPTOP#GENERAL#2
this laptop is the best of both worlds####1,2 4,5	LAPTOP#GENERAL#2
not bad for the a basic betty or plain jane laptop####10,11 0,2	LAPTOP#GENERAL#1
i only wish this laptop had a re ##movable battery other than that it ' s great .####9,10 -1,-1	BATTERY#DESIGN_FEATURES#0
i only wish this laptop had a re ##movable battery other than that it ' s great .####4,5 16,17	LAPTOP#GENERAL#2
( not amazing graphics at those settings )####3,4 1,3	GRAPHICS#OPERATION_PERFORMANCE#1
solid inexpensive computer for our 10 year old####2,3 0,1	LAPTOP#DESIGN_FEATURES#2
solid inexpensive computer for our 10 year old####2,3 1,2	LAPTOP#PRICE#2
very happy with my purchase , fast delivery , package well .####7,8 6,7	SHIPPING#QUALITY#2
very happy with my purchase , fast delivery , package well .####9,10 10,11	SHIPPING#QUALITY#2
very happy with my purchase , fast delivery , package well .####-1,-1 1,2	LAPTOP#GENERAL#2
great little laptop for the money .####2,3 0,1	LAPTOP#PRICE#2
good laptop .####1,2 0,1	LAPTOP#GENERAL#2 LAPTOP#GENERAL#2
you just have to deal with a low battery and that ' s all####8,9 7,8	BATTERY#OPERATION_PERFORMANCE#0
it is a little slow at times though .####-1,-1 4,5	LAPTOP#OPERATION_PERFORMANCE#0
great laptop , would not recommend for hardcore gaming , but light gaming it can handle .####1,2 0,1	LAPTOP#GENERAL#2
great laptop , would not recommend for hardcore gaming , but light gaming it can handle .####1,2 4,6	LAPTOP#OPERATION_PERFORMANCE#0
this has worked great to overcome that problem .####-1,-1 3,4	LAPTOP#GENERAL#2
great amount of memory for a small business .####3,4 0,1	MEMORY#GENERAL#2
we are very happy with the len ##ovo laptop .####6,9 3,4	LAPTOP#GENERAL#2
it ' s very easy to set up and use####6,8 4,5	LAPTOP#USABILITY#2
once i got it set up it has been very nice .####4,6 10,11	LAPTOP#GENERAL#2
noisy hd ##r , better with ss ##d ) works quickly .####1,3 0,1	HARD_DISC#OPERATION_PERFORMANCE#0
noisy hd ##r , better with ss ##d ) works quickly .####6,8 4,5	HARD_DISC#GENERAL#2
noisy hd ##r , better with ss ##d ) works quickly .####6,8 10,11	HARD_DISC#GENERAL#2
so far so good , good quality , plenty fast enough for streaming and brows ##ing .####-1,-1 5,6	LAPTOP#GENERAL#2
so far so good , good quality , plenty fast enough for streaming and brows ##ing .####-1,-1 -1,-1	LAPTOP#QUALITY#2
so far so good , good quality , plenty fast enough for streaming and brows ##ing .####-1,-1 9,10	LAPTOP#OPERATION_PERFORMANCE#2
my dad says it works extremely well !####-1,-1 6,7	LAPTOP#GENERAL#2
love this computer !####2,3 0,1	LAPTOP#GENERAL#2
love my new len ##ovo .####3,5 0,1	COMPANY#GENERAL#2
pretty fast processor .####2,3 1,2	CPU#OPERATION_PERFORMANCE#2
excellent lap ##to , just as they show it .####1,3 0,1	LAPTOP#GENERAL#2
very good laptop for gamer ##s and editing videos , love it####2,3 1,2	LAPTOP#GENERAL#2
very good laptop for gamer ##s and editing videos , love it####2,3 10,11	LAPTOP#GENERAL#2
it is very good to use in korea .####-1,-1 3,4	LAPTOP#USABILITY#2
good price , good quality and good service in korea .####-1,-1 -1,-1	LAPTOP#PRICE#2 LAPTOP#QUALITY#2
good price , good quality and good service in korea .####7,8 -1,-1	SUPPORT#GENERAL#2
nice laptop !####1,2 0,1	LAPTOP#GENERAL#2
the best laptop for its price .####2,3 1,2	LAPTOP#PRICE#2
i recommend it , definitely####-1,-1 1,2	LAPTOP#GENERAL#2
it ' s exactly as i wanted it####-1,-1 -1,-1	LAPTOP#GENERAL#2
i like it####-1,-1 1,2	LAPTOP#GENERAL#2
this is the most well priced laptop for its spec####6,7 4,5	LAPTOP#PRICE#2
this is the most well priced laptop for its spec####9,10 4,5	LAPTOP#PRICE#2
very good laptop####2,3 1,2	LAPTOP#GENERAL#2
len ##ovo computers are of chinese manufacture and thus you will not know if yours is one of the pl ##a ' s cyber - spies .####0,3 -1,-1	COMPANY#GENERAL#1
battery life short####0,2 2,3	BATTERY#OPERATION_PERFORMANCE#0
i ' ve had this laptop for 4 months and it ' s run very well considering it ' s price .####5,6 15,16	LAPTOP#OPERATION_PERFORMANCE#2 LAPTOP#PRICE#2
only issue is that the graphics aren ' t quite as good as i expected , but i didn ' t buy this to use as a gaming pc so i ' m not overly concerned about it .####5,6 7,13	GRAPHICS#OPERATION_PERFORMANCE#1
this is a great laptop for web brows ##ing , sky ##pe , and more simple games .####4,5 3,4	LAPTOP#OPERATION_PERFORMANCE#2
photos ##hop also runs very well .####0,2 5,6	SOFTWARE#OPERATION_PERFORMANCE#2
i would definitely recommend this laptop to anyone who is looking for a cheap and nice computer .####5,6 3,4	LAPTOP#GENERAL#2
i would definitely recommend this laptop to anyone who is looking for a cheap and nice computer .####16,17 15,16	LAPTOP#GENERAL#2
i would definitely recommend this laptop to anyone who is looking for a cheap and nice computer .####16,17 13,14	LAPTOP#PRICE#2
love it .####-1,-1 0,1	LAPTOP#GENERAL#2 LAPTOP#GENERAL#2
very happy with it .####-1,-1 1,2	LAPTOP#GENERAL#2
excellent computer , better than expected .####1,2 0,1	LAPTOP#GENERAL#2
excellent computer , better than expected .####1,2 3,4	LAPTOP#GENERAL#2
great service with amazon on fulfilling my order .####1,4 0,1	SUPPORT#GENERAL#2
i am truly enjoying my laptop after one month .####5,6 3,4	LAPTOP#GENERAL#2
i use it for streaming with the el ##gat ##o device and it doesn ' t miss a beat .####-1,-1 -1,-1	LAPTOP#OPERATION_PERFORMANCE#2
you can ' t beat the price for what you are getting with this computer .####14,15 -1,-1	LAPTOP#PRICE#2
love the graphics when i replay my videos or watch other stream ##ers .####2,3 0,1	DISPLAY#OPERATION_PERFORMANCE#2
if you need a decent computer that runs quality this is it , especially if you are starting out .####5,6 4,5	LAPTOP#GENERAL#2
the fans did not turn on loudly if at all .####1,2 -1,-1	FANS&COOLING#OPERATION_PERFORMANCE#2
purchased as a mothers day gift but i ' ve come to respect the quality and performance of len ##ovo .####18,20 12,13	LAPTOP#QUALITY#2 LAPTOP#OPERATION_PERFORMANCE#2
i bought this because i have a desk job overnight that usually has a lot of down time so i when i have the ability to i can open this up and catch up on my news , watch movies , and even play video games and the graphics card in it is amazing .####-1,-1 53,54	LAPTOP#USABILITY#2
fast delivery , thanks to amazon .####1,2 0,1	SHIPPING#OPERATION_PERFORMANCE#2
fast delivery , thanks to amazon .####5,6 -1,-1	COMPANY#GENERAL#2
excellent price , i bought it for a begin ##ner in art design field .####-1,-1 0,1	LAPTOP#PRICE#2
it ' s been about 3 weeks since my purchase of my len ##ova laptop and figure it ' s time to give my all important review .####12,15 -1,-1	LAPTOP#GENERAL#1
love the price reduction and the len ##ova one year warrant ##y .####6,12 0,1	WARRANTY#GENERAL#2
love the price reduction and the len ##ova one year warrant ##y .####-1,-1 0,1	LAPTOP#PRICE#2
pro ##s : nice size , clear screen , quick on start up , very functional and easy to use .####-1,-1 3,4	LAPTOP#DESIGN_FEATURES#2
pro ##s : nice size , clear screen , quick on start up , very functional and easy to use .####7,8 6,7	DISPLAY#GENERAL#2
pro ##s : nice size , clear screen , quick on start up , very functional and easy to use .####-1,-1 9,10	LAPTOP#OPERATION_PERFORMANCE#2
pro ##s : nice size , clear screen , quick on start up , very functional and easy to use .####-1,-1 17,18	LAPTOP#USABILITY#2
it ' s also very lightweight , so it ' s easy to carry around .####-1,-1 5,6	LAPTOP#DESIGN_FEATURES#2
it ' s also very lightweight , so it ' s easy to carry around .####-1,-1 11,12	LAPTOP#PORTABILITY#2
i love the fact that it can extend and be flat .####-1,-1 1,2	LAPTOP#DESIGN_FEATURES#2
the keyboard is a nice size and the pads clicks on touch and not stiff or hard .####1,2 4,5	KEYBOARD#DESIGN_FEATURES#2
it also has a lot of space and memory .####-1,-1 -1,-1	LAPTOP#DESIGN_FEATURES#2
con ##s : i wished it had a back ##light on the keyboard .####-1,-1 0,2	KEYBOARD#DESIGN_FEATURES#0
the battery life sucks as it starts to die after 3 - 4 hours of use ( no gaming ) .####1,3 3,4	BATTERY#OPERATION_PERFORMANCE#0
lastly , the touch pad , even after lowering the sensitivity , it ' s still pretty sensitive and the click pads are stiff , so it doesn ' t tap on clicks , sometimes i have to click on it hard enough , so that ' s a bit annoying .####3,5 50,51	KEYBOARD#OPERATION_PERFORMANCE#0
after reading a lot of the reviews on here , i was unsure about laptop .####14,15 -1,-1	LAPTOP#GENERAL#1
only con would be that display is not that bright , although i would say at the brightest setting is probably where it should be .####5,6 1,2	DISPLAY#OPERATION_PERFORMANCE#0
also audio is pretty decent .####1,2 4,5	MULTIMEDIA_DEVICES#GENERAL#2
len ##ovo should put a better battery in it , and should make a retro ##fi ##t available .####5,6 -1,-1	COMPANY#DESIGN_FEATURES#0
but if you keep it plug ##ged in it ' s great !####-1,-1 11,12	LAPTOP#OPERATION_PERFORMANCE#2
len ##ovo paid for my shipping to the repair facility since i ' d had it such a short time , and they fixed and returned it in a reasonable time period .####0,2 29,30	SUPPORT#OPERATION_PERFORMANCE#2
nice keyboard .####1,2 0,1	KEYBOARD#GENERAL#2 KEYBOARD#GENERAL#2
have not tried customer service so no comment , but this is a nice sub $ 400 machine .####17,18 13,14	LAPTOP#PRICE#2
it works like it is made to run linux .####-1,-1 -1,-1	LAPTOP#OPERATION_PERFORMANCE#2
the only real complain is the same one everyone else has with this model and that is the battery life could be better .####18,20 -1,-1	BATTERY#OPERATION_PERFORMANCE#0
it does great and has lots of cool stuff####-1,-1 2,3	LAPTOP#GENERAL#2
it does great and has lots of cool stuff####-1,-1 7,8	LAPTOP#GENERAL#2
excellent product and experience with the purchase .####1,2 0,1	LAPTOP#GENERAL#2
but the worse web ##cam i ' ve seen in a while and the battery dies very fast .####3,5 2,3	Out_Of_Scope#GENERAL#0
but the worse web ##cam i ' ve seen in a while and the battery dies very fast .####14,15 17,18	BATTERY#OPERATION_PERFORMANCE#0
it is a very good laptop .####-1,-1 4,5	LAPTOP#GENERAL#2
laptop meets spec for what it was purchased to do but disappointed it was shipped with a charge ##r not compatible with location it was shipped to ( needed to buy an adapt ##er to convert from 2 pin to 3 pin plug )####0,1 -1,-1	LAPTOP#GENERAL#2
laptop meets spec for what it was purchased to do but disappointed it was shipped with a charge ##r not compatible with location it was shipped to ( needed to buy an adapt ##er to convert from 2 pin to 3 pin plug )####-1,-1 11,12	SHIPPING#GENERAL#0
it has everything he wanted and needs .####-1,-1 -1,-1	LAPTOP#GENERAL#2
we have always liked len ##ovo laptop ##s .####4,8 3,4	COMPANY#GENERAL#2
love it so far very nice product and it do what it is set out to do####6,7 0,1	LAPTOP#GENERAL#2
love it so far very nice product and it do what it is set out to do####6,7 5,6	LAPTOP#GENERAL#2
i got this len ##ovo idea ##pad 320 ( the am ##d a1 ##2 7th generation version ) and it ' s absolutely incredible !####3,8 23,24	LAPTOP#GENERAL#2
really fast also len ##ovo ' s customer service excellent .####-1,-1 1,2	LAPTOP#OPERATION_PERFORMANCE#2
really fast also len ##ovo ' s customer service excellent .####7,9 9,10	SUPPORT#GENERAL#2
con ##s hd display is n ' t the greatest####2,4 0,2	DISPLAY#GENERAL#0
con ##s hd display is n ' t the greatest####2,4 5,10	DISPLAY#GENERAL#0
battery last 2 1 / 2 hours####0,1 -1,-1	BATTERY#OPERATION_PERFORMANCE#1
i bought mine this year february and the laptop is very awesome the boot speed is perfect and the gaming it ' s fine as well and yeah i can say it depends on what you want to use with your laptop but overall the laptop is fine the only problem is the cooling fan it is too loud but the processor the ram the storage it ' s fine####41,42 11,12	LAPTOP#GENERAL#2
i bought mine this year february and the laptop is very awesome the boot speed is perfect and the gaming it ' s fine as well and yeah i can say it depends on what you want to use with your laptop but overall the laptop is fine the only problem is the cooling fan it is too loud but the processor the ram the storage it ' s fine####-1,-1 69,70	LAPTOP#GENERAL#2
i bought mine this year february and the laptop is very awesome the boot speed is perfect and the gaming it ' s fine as well and yeah i can say it depends on what you want to use with your laptop but overall the laptop is fine the only problem is the cooling fan it is too loud but the processor the ram the storage it ' s fine####13,15 16,17	OS#GENERAL#2
i bought mine this year february and the laptop is very awesome the boot speed is perfect and the gaming it ' s fine as well and yeah i can say it depends on what you want to use with your laptop but overall the laptop is fine the only problem is the cooling fan it is too loud but the processor the ram the storage it ' s fine####53,55 58,59	FANS&COOLING#OPERATION_PERFORMANCE#0
i bought mine this year february and the laptop is very awesome the boot speed is perfect and the gaming it ' s fine as well and yeah i can say it depends on what you want to use with your laptop but overall the laptop is fine the only problem is the cooling fan it is too loud but the processor the ram the storage it ' s fine####61,62 -1,-1	CPU#GENERAL#2
i bought mine this year february and the laptop is very awesome the boot speed is perfect and the gaming it ' s fine as well and yeah i can say it depends on what you want to use with your laptop but overall the laptop is fine the only problem is the cooling fan it is too loud but the processor the ram the storage it ' s fine####63,64 -1,-1	MEMORY#GENERAL#2
i bought mine this year february and the laptop is very awesome the boot speed is perfect and the gaming it ' s fine as well and yeah i can say it depends on what you want to use with your laptop but overall the laptop is fine the only problem is the cooling fan it is too loud but the processor the ram the storage it ' s fine####65,66 -1,-1	HARD_DISC#GENERAL#2
i don ' t like the fact that the battery go low very fast .####9,10 13,14	BATTERY#OPERATION_PERFORMANCE#0
it has way more than i will ever need because all i do is check my email and facebook , but it is crazy fast .####-1,-1 24,25	LAPTOP#OPERATION_PERFORMANCE#2
i don ' t really have anywhere to rest my hand when i use it because it ' s so large .####-1,-1 20,21	KEYBOARD#DESIGN_FEATURES#0
otherwise i really do love it####-1,-1 4,5	LAPTOP#GENERAL#2
plenty of memory and storage .####2,3 -1,-1	MEMORY#GENERAL#2
plenty of memory and storage .####4,5 -1,-1	HARD_DISC#GENERAL#2
love this laptop####2,3 0,1	LAPTOP#GENERAL#2
i am very happy with this laptop .####6,7 3,4	LAPTOP#GENERAL#2
the screen is just right .####1,2 4,5	DISPLAY#GENERAL#2
i bought this for my daughter for school and she loves it .####-1,-1 10,11	LAPTOP#GENERAL#2
the spec ##s are good on this for a good cheap low end gaming machine .####1,3 9,10	LAPTOP#DESIGN_FEATURES#2
the spec ##s are good on this for a good cheap low end gaming machine .####14,15 -1,-1	LAPTOP#GENERAL#2
the spec ##s are good on this for a good cheap low end gaming machine .####14,15 10,11	LAPTOP#PRICE#2
so before you get angry do your homework on why the laptop may be acting strange .####11,12 4,5	LAPTOP#GENERAL#0
great computer .####1,2 0,1	LAPTOP#GENERAL#2
fast , sturdy with a beautiful display####-1,-1 0,1	LAPTOP#OPERATION_PERFORMANCE#2
fast , sturdy with a beautiful display####-1,-1 2,3	LAPTOP#DESIGN_FEATURES#2
fast , sturdy with a beautiful display####6,7 5,6	DISPLAY#GENERAL#2
1 , b ##lo ##at ##ware from hell and 2 , a very cheap crap ##py 540 ##0 ##rp ##m hd ##d .####2,6 -1,-1	SOFTWARE#GENERAL#0
1 , b ##lo ##at ##ware from hell and 2 , a very cheap crap ##py 540 ##0 ##rp ##m hd ##d .####16,22 13,14	HARD_DISC#PRICE#0
1 , b ##lo ##at ##ware from hell and 2 , a very cheap crap ##py 540 ##0 ##rp ##m hd ##d .####16,22 14,16	HARD_DISC#PRICE#0
multi ##tas ##king is pretty good .####0,3 5,6	LAPTOP#OPERATION_PERFORMANCE#2
battery is okay .####0,1 2,3	BATTERY#GENERAL#1
keyboard is pretty damn good and the track pad is fair .####0,1 4,5	KEYBOARD#GENERAL#2
keyboard is pretty damn good and the track pad is fair .####7,9 10,11	HARDWARE#GENERAL#2
fan noise could be a bit quieter when the cpu is being tax ##ed but not annoying ##ly loud either , under lit ##e use the pc is silent .####0,1 -1,-1	FANS&COOLING#OPERATION_PERFORMANCE#1
has ac wireless so you can see the 5 ##gh ##z on your network , blazing fast .####1,3 16,17	PORTS#OPERATION_PERFORMANCE#2
at this price range it is a fine screen .####8,9 7,8	DISPLAY#PRICE#2
great laptop if you are willing to put in an ss ##d and reins ##tal ##l windows .####1,2 0,1	LAPTOP#GENERAL#2
it is very easy to use the set up was awesome .####7,9 3,4	SOFTWARE#USABILITY#2
it is very easy to use the set up was awesome .####7,9 10,11	SOFTWARE#USABILITY#2
that said if you ' re not a computer sa ##v ##vy no worries as soon as you turn it on co ##rta ##na the computers assistant walks you through everything that you need to do .####-1,-1 -1,-1	OS#GENERAL#2
i have had no issues with it since i bought it i would highly recommend it .####-1,-1 14,15	LAPTOP#GENERAL#2
i loved how fast it was .####-1,-1 1,2	LAPTOP#OPERATION_PERFORMANCE#2
i loved how fast it was .####-1,-1 3,4	LAPTOP#OPERATION_PERFORMANCE#2
also can not just ` ` add ` ` memory dd ##ms : only one socket means you must remove the 8 ##gb and pu ##rch ##ace a 16 ##gb ( ~ $ 180 further investment ) ; battery not go ##n na last several hr ##s , looking at ~ 2 - 4 .####9,12 -1,-1	MEMORY#GENERAL#1
also can not just ` ` add ` ` memory dd ##ms : only one socket means you must remove the 8 ##gb and pu ##rch ##ace a 16 ##gb ( ~ $ 180 further investment ) ; battery not go ##n na last several hr ##s , looking at ~ 2 - 4 .####38,39 -1,-1	BATTERY#OPERATION_PERFORMANCE#0
i love this laptop so far .####3,4 1,2	LAPTOP#GENERAL#2
the start up process was very simple and relatively quick .####1,3 9,10	OS#OPERATION_PERFORMANCE#2
i was able to download all of my games in a quick amount of time too .####-1,-1 11,12	LAPTOP#OPERATION_PERFORMANCE#2
the laptop is the perfect size , it ' s not too heavy and it ' s slim .####1,2 4,5	LAPTOP#DESIGN_FEATURES#2
have had mine for about 3 - 4 w ##ks and have had no trouble .####-1,-1 -1,-1	LAPTOP#GENERAL#2
the tech and the quantities ( ram , etc . )####-1,-1 -1,-1	LAPTOP#MISCELLANEOUS#2
